NO_OF_FRAMES	6248
NO_OF_CAMERAS	9
NO_OF_BODIES	2
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-12-05, 22:05:52.243	27356.83166420
DATA_INCLUDED	6D
BODY_NAMES	drone	hunter
BODY_FILTERS	No filter	No filter
TRANSLATION_ORIGIN	Global	Global	
ROTATION_ORIGIN	Global	Global	
Frame	Time	drone X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]		hunter X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1	0.00000	-129.13669	915.75364	1140.06396	-8.21311	0.18127	-26.31497	0.45398	0.89637	-0.43916	0.06052	0.44330	0.88698	-0.12944	0.00316	0.14285	0.98974		-692.90125	-2873.38036	395.14114	-0.58668	0.58348	-83.91137	0.99816	0.10606	-0.99432	0.00910	0.99431	0.10596	-0.01121	0.01018	0.01024	0.99990	
2	0.01000	-129.14610	915.56269	1139.62725	-8.25454	0.00308	-26.24681	0.57347	0.89690	-0.43766	0.06344	0.44224	0.88760	-0.12879	0.00005	0.14357	0.98964		-692.05285	-2873.84496	394.90915	-0.87971	0.81781	-84.37988	1.06464	0.09792	-0.99510	0.01388	0.99509	0.09770	-0.01571	0.01427	0.01535	0.99978	
3	0.02000	-129.10009	915.65112	1139.80533	-8.14791	0.15859	-26.23272	0.43425	0.89700	-0.43791	0.06019	0.44202	0.88778	-0.12834	0.00277	0.14173	0.98990		-691.08462	-2874.09341	394.56803	-1.25154	1.03721	-84.81471	1.28285	0.09036	-0.99571	0.02012	0.99574	0.08996	-0.02000	0.01810	0.02184	0.99960	
4	0.03000	-129.19040	915.47333	1139.50287	-8.16020	0.06934	-26.18843	0.48417	0.89735	-0.43701	0.06157	0.44132	0.88819	-0.12790	0.00121	0.14194	0.98987		-689.58685	-2872.78524	395.09452	-0.50508	0.35824	-84.48476	0.86054	0.09611	-0.99534	0.00817	0.99535	0.09605	-0.00707	0.00625	0.00882	0.99994	
5	0.04000	-129.14569	915.36771	1139.36205	-8.12018	0.06346	-26.16566	0.48214	0.89752	-0.43669	0.06130	0.44097	0.88846	-0.12726	0.00111	0.14125	0.98997		-688.57911	-2872.69044	395.03692	-0.47416	0.33537	-84.52061	0.89118	0.09549	-0.99540	0.00768	0.99541	0.09544	-0.00662	0.00585	0.00828	0.99995	
6	0.05000	-128.71371	915.40944	1139.64461	-8.07815	0.03158	-26.20194	0.52147	0.89724	-0.43722	0.06156	0.44154	0.88831	-0.12632	0.00055	0.14052	0.99008		-688.64069	-2872.34835	394.64453	-1.57565	0.61964	-83.44884	2.60722	0.11408	-0.99313	0.02608	0.99341	0.11375	-0.01388	0.01081	0.02750	0.99956	
7	0.06000	-128.82116	915.18494	1139.04170	-7.91043	0.07023	-26.24774	0.39714	0.89689	-0.43820	0.05978	0.44225	0.88828	-0.12397	0.00123	0.13762	0.99048		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
8	0.07000	-128.80373	914.94708	1138.80499	-7.86738	0.04961	-26.25167	0.41428	0.89686	-0.43826	0.05978	0.44231	0.88837	-0.12314	0.00087	0.13688	0.99059		-685.19065	-2872.51109	395.26311	1.24626	-1.01154	-83.98679	4.52186	0.10474	-0.99430	-0.01978	0.99434	0.10435	0.01983	-0.01765	-0.02175	0.99961	
9	0.08000	-128.79059	914.75004	1138.62781	-7.81610	0.06324	-26.26756	0.40686	0.89674	-0.43859	0.05921	0.44256	0.88834	-0.12243	0.00110	0.13599	0.99071		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
10	0.09000	-128.73157	914.51034	1138.42022	-7.75637	0.06637	-26.29700	0.40315	0.89651	-0.43911	0.05876	0.44302	0.88824	-0.12150	0.00116	0.13496	0.99085		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
11	0.10000	-128.70729	914.22518	1138.17451	-7.69236	0.07109	-26.31415	0.38302	0.89638	-0.43945	0.05823	0.44329	0.88824	-0.12053	0.00124	0.13385	0.99100		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
12	0.11000	-128.62629	913.95309	1138.01985	-7.64393	0.06079	-26.34612	0.37132	0.89613	-0.43998	0.05809	0.44379	0.88810	-0.11967	0.00106	0.13302	0.99111		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
13	0.12000	-128.61536	913.63882	1137.87867	-7.60431	0.06734	-26.38350	0.36275	0.89584	-0.44061	0.05776	0.44438	0.88789	-0.11907	0.00118	0.13233	0.99120		-680.82283	-2873.29901	394.52665	0.02616	-0.07649	-84.94483	0.84532	0.08811	-0.99611	-0.00034	0.99611	0.08811	0.00137	-0.00133	-0.00046	1.00000	
14	0.13000	-128.50239	913.40861	1137.73183	-7.53170	0.09401	-26.42593	0.37850	0.89551	-0.44139	0.05688	0.44504	0.88769	-0.11810	0.00164	0.13107	0.99137		-680.03102	-2873.51647	394.53068	0.13528	-0.13156	-84.97736	0.85675	0.08755	-0.99616	-0.00215	0.99616	0.08754	0.00249	-0.00230	-0.00236	0.99999	
15	0.14000	-128.55131	913.00310	1137.49287	-7.50214	0.05672	-26.43522	0.36114	0.89544	-0.44149	0.05725	0.44519	0.88772	-0.11735	0.00099	0.13056	0.99144		-679.25447	-2873.65074	394.53615	0.19103	-0.14547	-84.98135	0.85365	0.08748	-0.99616	-0.00310	0.99616	0.08747	0.00282	-0.00254	-0.00333	0.99999	
16	0.15000	-128.53931	912.66567	1137.35913	-7.44902	0.05264	-26.46206	0.36266	0.89523	-0.44195	0.05695	0.44561	0.88762	-0.11647	0.00092	0.12964	0.99156		-678.46535	-2873.73279	394.55116	0.24905	-0.21584	-85.07320	0.83981	0.08588	-0.99630	-0.00401	0.99630	0.08587	0.00413	-0.00377	-0.00435	0.99998	
17	0.16000	-128.51171	912.33306	1137.22612	-7.38856	0.03624	-26.48863	0.35735	0.89502	-0.44239	0.05680	0.44602	0.88756	-0.11538	0.00063	0.12860	0.99170		-677.55078	-2873.66286	394.50279	0.19646	-0.13189	-85.11182	0.87150	0.08521	-0.99636	-0.00322	0.99636	0.08520	0.00259	-0.00230	-0.00343	0.99999	
18	0.17000	-128.49269	911.98141	1137.05133	-7.32079	0.01467	-26.51917	0.37150	0.89478	-0.44289	0.05667	0.44650	0.88748	-0.11413	0.00026	0.12742	0.99185		-676.68446	-2873.67147	394.45403	0.09633	-0.09186	-85.11833	0.83700	0.08510	-0.99637	-0.00154	0.99637	0.08510	0.00174	-0.00160	-0.00168	1.00000	
19	0.18000	-128.53760	911.67206	1136.94702	-7.24419	0.01040	-26.52363	0.34601	0.89475	-0.44302	0.05615	0.44657	0.88760	-0.11291	0.00018	0.12610	0.99202		-675.74585	-2873.46381	394.56754	-0.02668	-0.02782	-85.17839	0.73512	0.08405	-0.99646	0.00050	0.99646	0.08405	0.00044	-0.00049	0.00047	1.00000	
20	0.19000	-128.55561	911.37114	1136.81758	-7.19579	-0.01861	-26.52034	0.36756	0.89478	-0.44296	0.05622	0.44652	0.88775	-0.11194	-0.00032	0.12526	0.99212		-674.82687	-2873.30991	394.50675	-0.07619	0.06931	-85.15977	0.72134	0.08438	-0.99643	0.00122	0.99643	0.08438	-0.00132	0.00121	0.00133	1.00000	
21	0.20000	-128.60039	911.04340	1136.67088	-7.12808	-0.02097	-26.51819	0.38433	0.89479	-0.44299	0.05573	0.44648	0.88790	-0.11087	-0.00037	0.12409	0.99227		-673.97491	-2873.15038	394.43229	-0.10262	0.06318	-85.16917	0.72840	0.08421	-0.99645	0.00169	0.99645	0.08421	-0.00125	0.00110	0.00179	1.00000	
22	0.21000	-128.68523	910.74015	1136.65365	-7.06810	-0.02386	-26.48712	0.38389	0.89503	-0.44256	0.05525	0.44600	0.88826	-0.10995	-0.00042	0.12305	0.99240		-673.26329	-2873.19904	394.41470	0.04386	0.01900	-85.25964	0.74320	0.08264	-0.99658	-0.00079	0.99658	0.08264	-0.00027	0.00033	-0.00077	1.00000	
23	0.22000	-128.79237	910.40128	1136.55134	-6.98569	-0.05735	-26.46071	0.37299	0.89524	-0.44217	0.05508	0.44558	0.88865	-0.10844	-0.00100	0.12162	0.99258		-672.59615	-2873.08784	394.40765	-0.29266	0.08889	-85.35000	0.69740	0.08107	-0.99670	0.00497	0.99671	0.08106	-0.00196	0.00155	0.00511	0.99999	
