-770.29	-2880.052	396.726	6.29
-769.277	-2879.949	396.713	5.387
-768.38	-2879.814	396.643	4.722
-767.33	-2879.713	396.492	6.096
-766.26	-2879.609	396.403	6.127
-765.31	-2879.564	396.174	6.763
-764.333	-2879.496	396.05	6.883
-763.363	-2879.436	395.921	7.054
-762.391	-2879.388	395.793	7.255
-761.431	-2879.348	395.672	7.301
-760.486	-2879.312	395.552	7.312
-759.55	-2879.282	395.451	7.175
-758.619	-2879.247	395.352	6.979
-757.704	-2879.216	395.268	6.775
-756.809	-2879.186	395.205	6.561
-755.929	-2879.149	395.156	6.344
-755.061	-2879.107	395.122	6.128
-754.197	-2879.055	395.098	5.91
-753.347	-2878.998	395.08	5.721
-752.513	-2878.937	395.068	5.56
-751.696	-2878.872	395.061	5.426
-750.893	-2878.805	395.06	5.321
-750.107	-2878.744	395.062	5.248
-749.336	-2878.689	395.069	5.209
-748.579	-2878.637	395.073	5.175
-747.825	-2878.586	395.065	5.137
-747.085	-2878.545	395.055	5.103
-746.356	-2878.512	395.041	5.069
-745.636	-2878.486	395.025	5.037
-744.922	-2878.469	395.008	5.001
-744.211	-2878.458	394.99	4.964
-743.5	-2878.456	394.974	4.926
-742.787	-2878.466	394.96	4.888
-742.067	-2878.482	394.948	4.85
-741.339	-2878.503	394.937	4.806
-740.597	-2878.527	394.927	4.759
-739.843	-2878.554	394.924	4.714
-739.07	-2878.579	394.922	4.668
-738.275	-2878.604	394.921	4.619
-737.458	-2878.627	394.921	4.57
-736.614	-2878.645	394.923	4.524
-735.744	-2878.661	394.925	4.477
-734.845	-2878.671	394.924	4.426
-733.921	-2878.673	394.923	4.369
-732.971	-2878.67	394.92	4.307
-731.997	-2878.662	394.917	4.246
-731.002	-2878.651	394.913	4.179
-729.986	-2878.634	394.906	4.111
-728.953	-2878.613	394.897	4.04
-727.904	-2878.587	394.885	3.969
-726.841	-2878.558	394.871	3.897
-725.768	-2878.526	394.858	3.821
-724.69	-2878.493	394.845	3.745
-723.61	-2878.459	394.836	3.673
-722.529	-2878.427	394.829	3.605
-721.451	-2878.399	394.824	3.542
-720.371	-2878.379	394.821	3.482
-719.287	-2878.374	394.826	3.428
-718.196	-2878.391	394.843	3.375
-717.094	-2878.433	394.87	3.321
-715.981	-2878.503	394.911	3.268
-714.854	-2878.6	394.961	3.216
-713.706	-2878.723	395.015	3.166
-712.53	-2878.87	395.07	3.109
-711.318	-2879.037	395.123	3.048
-710.062	-2879.219	395.175	2.983
-708.755	-2879.409	395.225	2.912
-707.391	-2879.596	395.275	2.833
-705.966	-2879.766	395.313	2.746
-704.48	-2879.911	395.338	2.656
-702.924	-2880.024	395.352	2.562
-701.297	-2880.1	395.352	2.464
-699.596	-2880.14	395.342	2.36
-697.821	-2880.118	395.333	2.238
-695.977	-2880.067	395.323	2.118
-694.068	-2879.968	395.321	1.992
-692.1	-2879.828	395.323	1.855
-690.079	-2879.656	395.33	1.71
-688.011	-2879.466	395.339	1.553
-685.903	-2879.295	395.356	1.4
-683.758	-2879.154	395.377	1.245
-681.58	-2879.049	395.4	1.09
-679.373	-2878.984	395.426	0.936
-677.139	-2878.957	395.456	0.781
-674.88	-2879.025	395.475	0.649
-672.589	-2879.128	395.492	0.515
-670.265	-2879.311	395.496	0.391
-667.903	-2879.571	395.487	0.283
-665.496	-2879.9	395.469	0.19
-663.039	-2880.291	395.444	0.114
-660.52	-2880.684	395.419	0.035
-657.932	-2881.077	395.393	-0.045
-655.267	-2881.467	395.366	-0.127
-652.519	-2881.853	395.34	-0.214
-649.68	-2882.236	395.313	-0.303
-646.742	-2882.584	395.288	-0.403
-643.704	-2882.93	395.264	-0.505
-640.559	-2883.251	395.245	-0.616
-637.308	-2883.547	395.234	-0.739
-633.948	-2883.817	395.224	-0.874
-630.488	-2884.068	395.224	-1.024
-626.937	-2884.325	395.228	-1.179
-623.301	-2884.584	395.231	-1.34
-619.597	-2884.848	395.242	-1.499
-615.836	-2885.116	395.26	-1.657
-612.03	-2885.389	395.285	-1.811
-608.191	-2885.67	395.32	-1.963
-604.331	-2885.958	395.364	-2.111
-600.463	-2886.254	395.418	-2.249
-596.589	-2886.554	395.476	-2.377
-592.723	-2886.862	395.54	-2.495
-588.866	-2887.172	395.601	-2.597
-585.022	-2887.478	395.657	-2.686
-581.201	-2887.795	395.715	-2.76
-577.39	-2888.119	395.76	-2.829
-573.591	-2888.449	395.79	-2.894
-569.804	-2888.784	395.806	-2.955
-566.029	-2889.121	395.808	-3.016
-562.265	-2889.456	395.795	-3.07
-558.509	-2889.786	395.765	-3.119
-554.772	-2890.119	395.73	-3.158
-551.048	-2890.453	395.69	-3.187
-547.328	-2890.793	395.637	-3.21
-543.613	-2891.147	395.573	-3.225
-539.903	-2891.495	395.51	-3.241
-536.208	-2891.836	395.455	-3.255
-532.526	-2892.172	395.408	-3.27
-528.855	-2892.5	395.371	-3.288
-525.194	-2892.823	395.342	-3.31
-521.543	-2893.143	395.318	-3.348
-517.905	-2893.459	395.304	-3.411
-514.276	-2893.77	395.294	-3.499
-510.661	-2894.075	395.289	-3.615
-507.065	-2894.376	395.298	-3.756
-503.491	-2894.673	395.32	-3.917
-499.931	-2894.974	395.343	-4.092
-496.383	-2895.281	395.362	-4.273
-492.847	-2895.595	395.38	-4.451
-489.323	-2895.916	395.396	-4.617
-485.811	-2896.247	395.411	-4.766
-482.306	-2896.588	395.429	-4.898
-478.803	-2896.94	395.446	-5.009
-475.298	-2897.301	395.457	-5.103
-471.773	-2897.659	395.469	-5.178
