1020.7779	-14.53783	303.44578	0.99998	-0.00645	-0.00008	0.00645	0.99996	0.00644	0.00004	-0.00644	0.99998
1020.79959	-14.63891	303.46962	0.99998	-0.00627	-0.00008	0.00627	0.99996	0.00688	0.00003	-0.00688	0.99998
1020.87005	-14.69394	303.5028	0.99998	-0.00619	-0.00005	0.00619	0.99996	0.00693	0.00001	-0.00693	0.99998
1020.92967	-14.78233	303.56972	0.99998	-0.00617	-0.0005	0.00617	0.99995	0.00743	0.00046	-0.00743	0.99997
1021.03761	-14.89125	303.58176	0.99998	-0.00578	-0.0007	0.00578	0.99995	0.0078	0.00065	-0.0078	0.99997
1021.15986	-15.03043	303.64952	0.99998	-0.00559	-0.00104	0.0056	0.99995	0.00815	0.00099	-0.00815	0.99997
1021.29447	-15.22774	303.6703	0.99999	-0.00528	-0.00127	0.0053	0.99995	0.00887	0.00122	-0.00888	0.99996
1021.40464	-15.38814	303.74374	0.99999	-0.00493	-0.00183	0.00495	0.99994	0.00934	0.00179	-0.00935	0.99995
1021.54073	-15.52967	303.82636	0.99999	-0.00477	-0.00214	0.00479	0.99994	0.00992	0.00209	-0.00993	0.99995
1021.68871	-15.71593	303.88215	0.99999	-0.00449	-0.0024	0.00451	0.99993	0.01063	0.00235	-0.01064	0.99994
1021.8619	-15.89085	303.93963	0.99999	-0.00413	-0.00291	0.00417	0.99993	0.011	0.00287	-0.01101	0.99994
1022.00842	-16.0859	304.0262	0.99999	-0.00384	-0.00362	0.00388	0.99993	0.0114	0.00357	-0.01142	0.99993
1022.19161	-16.29869	304.08553	0.99999	-0.00327	-0.00423	0.00332	0.99992	0.01195	0.00419	-0.01197	0.99992
1022.369	-16.51658	304.14847	0.99999	-0.00259	-0.00457	0.00264	0.99992	0.01252	0.00454	-0.01253	0.99991
1022.5466	-16.79839	304.24989	0.99999	-0.00193	-0.0048	0.002	0.99991	0.01361	0.00477	-0.01362	0.9999
1022.74655	-17.08306	304.4037	0.99999	-0.00112	-0.00472	0.00119	0.9999	0.01443	0.0047	-0.01444	0.99988
1022.96327	-17.44719	304.49495	0.99999	0.00001	-0.00499	0.00007	0.99988	0.01531	0.00499	-0.01531	0.99987
1023.1706	-17.77127	304.61639	0.99999	0.00116	-0.00504	-0.00108	0.99988	0.01576	0.00506	-0.01575	0.99986
1023.35673	-18.14268	304.64741	0.99998	0.00257	-0.00574	-0.00248	0.99986	0.01647	0.00578	-0.01646	0.99985
1023.63305	-18.56084	304.65409	0.99997	0.00409	-0.00671	-0.00397	0.99983	0.01822	0.00678	-0.01819	0.99981
1023.86275	-18.92306	304.83547	0.99996	0.00531	-0.00761	-0.00516	0.9998	0.01943	0.00771	-0.01939	0.99978
1024.10993	-19.30921	305.05544	0.99994	0.0064	-0.00864	-0.00621	0.99975	0.02163	0.00878	-0.02158	0.99973
1024.36103	-19.68784	305.24791	0.99993	0.00723	-0.00958	-0.007	0.9997	0.02368	0.00975	-0.02361	0.99967
1024.57387	-20.04597	305.36022	0.99992	0.0081	-0.01001	-0.00785	0.99966	0.02501	0.01021	-0.02493	0.99964
1024.82757	-20.43528	305.45974	0.99991	0.00907	-0.01027	-0.0088	0.99963	0.02593	0.0105	-0.02583	0.99961
1025.02508	-20.79534	305.55342	0.9999	0.00986	-0.01024	-0.00958	0.99961	0.02623	0.01049	-0.02612	0.9996
1025.23388	-21.14523	305.63462	0.99989	0.0105	-0.01006	-0.01022	0.99959	0.02688	0.01034	-0.02677	0.99959
