0	1021.51745	-14.03248	304.02964	0.73148	0.10008	-0.57421	1.35359	0.9999482562	0.01004316888	0.001618553825	-0.01002167205	0.9998680686	-0.0127832502	-0.001746724627	0.01276636813	0.999916981
0.01	1021.70195	-13.63571	303.82847	0.86281	0.08219	-0.50321	1.28545	0.9999604038	0.008803162721	0.001302017203	-0.008782549384	0.9998478645	-0.01507032244	-0.00143448562	0.01505829068	0.9998855885
0.02	1021.75282	-13.39927	303.65727	0.64264	0.07053	-0.48971	1.46711	0.9999627165	0.008560216317	0.001134995893	-0.008546941341	0.9999004577	-0.01122605953	-0.001230980411	0.01121594024	0.9999363417
0.03	1021.08828	-15.88692	304.40353	0.77342	0.09915	-0.50422	1.70905	0.9999597804	0.008822741649	0.001611480746	-0.008800172388	0.9998699692	-0.01351302014	-0.00173049309	0.01349829535	0.9999073964
0.04	1020.65513	-15.26853	304.27495	0.73099	0.09113	-0.42511	0.69926	0.9999712103	0.007439188284	0.001495687878	-0.007419491724	0.9998909423	-0.01276928492	-0.001590517877	0.01275782005	0.9999173507
0.05	1020.87606	-13.99091	303.99464	0.75356	0.14655	-0.29487	1.11036	0.999983486	0.005179623279	0.002489837722	-0.005146412813	0.9999000974	-0.01316471206	-0.00255777723	0.01315168092	0.9999102415
0.06	1020.14841	-13.21264	303.1852	0.69665	0.14559	-0.18166	1.61432	0.9999917454	0.003201220402	0.002502272158	-0.003170549571	0.9999209584	-0.0121665314	-0.002541022123	0.0121584974	0.9999228541
0.07	1019.98438	-12.82804	303.0856	0.67166	0.16676	-0.13456	2.10244	0.9999930067	0.002382469578	0.002882768714	-0.002348502935	0.9999284525	-0.01172921253	-0.002910506951	0.01172236031	0.9999270549
0.08	1020.00662	-12.81497	303.1157	0.61873	0.12185	-0.13639	2.36503	0.9999949053	0.002403278785	0.002100846355	-0.002380446935	0.9999388049	-0.01080369737	-0.00212668209	0.01079864138	0.9999394314
0.1	1020.25933	-13.71438	303.27811	0.4883	0.10002	-0.29767	1.5431	0.9999849807	0.005209986597	0.001701314382	-0.005195290297	0.9999501118	-0.008531293542	-0.001745677431	0.008522326585	0.9999621606
0.11	1020.89132	-14.44045	303.11274	0.36013	0.05791	-0.46497	0.56367	0.9999665607	0.008121360629	0.0009596595683	-0.008115164203	0.9999472672	-0.00629340788	-0.001010719998	0.006285409638	0.9999797358
0.12	1020.81667	-14.54054	303.26261	0.42216	0.06045	-0.45471	0.41767	0.9999679521	0.007943661305	0.0009965161437	-0.007936098917	0.9999413036	-0.007376156044	-0.001055051337	0.007368011202	0.9999722993
0.13	1020.82005	-14.54724	303.25678	0.41486	0.05811	-0.4528	0.39674	0.9999682583	0.007909904706	0.0009569315354	-0.007902764527	0.9999425019	-0.007248398424	-0.001014210654	0.007240605943	0.9999732721
0.14	1020.81337	-14.55642	303.27975	0.4124	0.05994	-0.45746	0.39762	0.9999675794	0.007991421161	0.0009886227695	-0.007984093999	0.9999421637	-0.007205798621	-0.001046150163	0.007197671747	0.9999735492
0.15	1020.83803	-14.58068	303.27805	0.41615	0.06017	-0.4521	0.40767	0.9999683177	0.007897970776	0.0009927939724	-0.007890547316	0.9999424329	-0.007271183873	-0.001050164418	0.007263119817	0.9999730718
0.16	1020.81857	-14.57167	303.25622	0.41419	0.06313	-0.44598	0.39443	0.9999690992	0.007791502184	0.001045495956	-0.007783736073	0.9999435161	-0.007237273381	-0.001101826134	0.007228911879	0.999973264
0.17	1020.84716	-14.57645	303.28641	0.41072	0.06719	-0.44816	0.3999	0.9999687218	0.007829992827	0.001116551102	-0.007821782439	0.9999436514	-0.007177307895	-0.001172686456	0.007168349982	0.9999736194
0.18	1020.80719	-14.54796	303.25437	0.42161	0.05709	-0.44566	0.39963	0.9999692533	0.007785277096	0.0009391162791	-0.007778152052	0.99994262	-0.007365943667	-0.0009964083051	0.0073584126	0.9999724301
0.19	1020.82162	-14.58495	303.29287	0.42437	0.06096	-0.44648	0.40367	0.9999690723	0.007800133455	0.001006175447	-0.007792462769	0.9999421486	-0.007414651738	-0.001063952511	0.007406581835	0.9999720049
