NO_OF_FRAMES	6345
NO_OF_CAMERAS	9
NO_OF_BODIES	2
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-12-05, 22:12:12.664	27737.25340530
DATA_INCLUDED	6D
BODY_NAMES	drone	hunter
BODY_FILTERS	No filter	No filter
TRANSLATION_ORIGIN	Global	Global	
ROTATION_ORIGIN	Global	Global	
Frame	Time	drone X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]		hunter X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
18	0.17000	1020.84716	-14.57645	303.28641	0.41072	0.06719	-0.44816	0.39990	0.99997	-0.00781	-0.00123	0.00782	0.99994	0.00716	0.00117	-0.00717	0.99997		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
19	0.18000	1020.80719	-14.54796	303.25437	0.42161	0.05709	-0.44566	0.39963	0.99997	-0.00777	-0.00105	0.00778	0.99994	0.00735	0.00100	-0.00736	0.99997		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
20	0.19000	1020.82162	-14.58495	303.29287	0.42437	0.06096	-0.44648	0.40367	0.99997	-0.00778	-0.00112	0.00779	0.99994	0.00740	0.00106	-0.00741	0.99997		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
21	0.20000	1020.83793	-14.56871	303.27294	0.42376	0.05992	-0.44011	0.42915	0.99997	-0.00767	-0.00110	0.00768	0.99994	0.00739	0.00105	-0.00740	0.99997		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
22	0.21000	1020.83501	-14.57119	303.27954	0.42318	0.05941	-0.43926	0.40727	0.99997	-0.00766	-0.00109	0.00767	0.99994	0.00738	0.00104	-0.00739	0.99997		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
23	0.22000	1020.83547	-14.57991	303.27072	0.42126	0.06678	-0.44178	0.40153	0.99997	-0.00770	-0.00122	0.00771	0.99994	0.00734	0.00117	-0.00735	0.99997		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
24	0.23000	1020.85159	-14.57411	303.28147	0.42268	0.07123	-0.43583	0.41054	0.99997	-0.00760	-0.00130	0.00761	0.99994	0.00737	0.00124	-0.00738	0.99997		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
25	0.24000	1020.85539	-14.58958	303.29183	0.42609	0.07168	-0.44053	0.40205	0.99997	-0.00768	-0.00131	0.00769	0.99994	0.00743	0.00125	-0.00744	0.99997		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
26	0.25000	1020.85101	-14.60597	303.27545	0.42560	0.06376	-0.43156	0.40905	0.99997	-0.00752	-0.00117	0.00753	0.99994	0.00742	0.00111	-0.00743	0.99997		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
27	0.26000	1020.85060	-14.59708	303.28022	0.42925	0.06339	-0.42594	0.39846	0.99997	-0.00743	-0.00116	0.00743	0.99994	0.00748	0.00111	-0.00749	0.99997		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
28	0.27000	1020.85148	-14.59562	303.27125	0.42168	0.05333	-0.42974	0.39668	0.99997	-0.00749	-0.00099	0.00750	0.99994	0.00735	0.00093	-0.00736	0.99997		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
29	0.28000	1020.85496	-14.58589	303.29381	0.41854	0.05877	-0.42135	0.41029	0.99997	-0.00735	-0.00108	0.00735	0.99995	0.00730	0.00103	-0.00730	0.99997		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
