0	1021.51745	-14.03248	304.02964	0.73148	0.10008	-0.57421	1.35359	0.9998682921	0.009999373805	-0.01278323215	-0.01002087063	0.9999484797	-0.00161869636	0.01276638761	0.00174658228	0.999916981
0.01	1021.70195	-13.63571	303.82847	0.86281	0.08219	-0.50321	1.28545	0.9998480542	0.008760949294	-0.01507030838	-0.00878156263	0.9999605935	-0.001302179978	0.01505830618	0.001434322974	0.9998855885
0.02	1021.75282	-13.39927	303.65727	0.64264	0.07053	-0.48971	1.46711	0.9999005757	0.008533135232	-0.01122605169	-0.008546410208	0.9999628345	-0.001135073392	0.01121594874	0.001230902981	0.9999363417
0.03	1021.08828	-15.88692	304.40353	0.77342	0.09915	-0.50422	1.70905	0.9998701747	0.008776814551	-0.01351300132	-0.008799383811	0.9999599859	-0.001611638577	0.01349831556	0.001730335431	0.9999073964
0.04	1020.65513	-15.26853	304.27495	0.73099	0.09113	-0.42511	0.69926	0.9998910929	0.007399200716	-0.01276926975	-0.007418897276	0.9999713608	-0.001495817438	0.01275783619	0.001590388433	0.9999173507
0.05	1020.87606	-13.99091	303.99464	0.75356	0.14655	-0.29487	1.11036	0.9999002705	0.005112774078	-0.01316467018	-0.005145984545	0.9999836591	-0.002490059157	0.01315172394	0.002557556014	0.9999102415
0.06	1020.14841	-13.21264	303.1852	0.69665	0.14559	-0.18166	1.61432	0.9999210564	0.003139654616	-0.01216649275	-0.003170325447	0.9999918433	-0.002502460109	0.01215853665	0.002540834297	0.9999228541
0.07	1019.98438	-12.82804	303.0856	0.67166	0.16676	-0.13456	2.10244	0.9999285326	0.002314384874	-0.01172916335	-0.002348351517	0.9999930868	-0.002882968811	0.01172240997	0.002910306971	0.9999270549
0.08	1020.00662	-12.81497	303.1157	0.61873	0.12185	-0.13639	2.36503	0.9999388596	0.002357481671	-0.01080367325	-0.002380313521	0.99999496	-0.002100970414	0.0107986658	0.002126558089	0.9999394314
0.1	1020.25933	-13.71438	303.27811	0.4883	0.10002	-0.29767	1.5431	0.999950189	0.005180413242	-0.008531280886	-0.005195109542	0.999985058	-0.001701377844	0.008522339571	0.001745614036	0.9999621606
0.11	1020.89132	-14.44045	303.11274	0.36013	0.05791	-0.46497	0.56367	0.9999473187	0.00810881162	-0.006293404832	-0.008115008046	0.9999666123	-0.0009596795589	0.006285412849	0.001010700033	0.9999797358
0.12	1020.81667	-14.54054	303.26261	0.42216	0.06045	-0.45471	0.41767	0.9999413653	0.007928325528	-0.00737615217	-0.007935887915	0.9999680138	-0.0009965448138	0.007368015303	0.001055022699	0.9999722993
0.13	1020.82005	-14.54724	303.25678	0.41486	0.05811	-0.4528	0.39674	0.9999425599	0.007895421252	-0.00724839491	-0.007902561431	0.9999683164	-0.0009569581501	0.007240609667	0.001014184068	0.9999732721
0.14	1020.81337	-14.55642	303.27975	0.4124	0.05994	-0.45746	0.39762	0.9999422238	0.00797656439	-0.007205794899	-0.007983891551	0.9999676395	-0.0009886498992	0.007197675686	0.001046123064	0.9999735492
0.15	1020.83803	-14.58068	303.27805	0.41615	0.06017	-0.4521	0.40767	0.9999424931	0.00788292008	-0.007271180086	-0.00789034354	0.9999683779	-0.0009928217032	0.007263123822	0.001050136718	0.9999730718
0.16	1020.81857	-14.57167	303.25622	0.41419	0.06313	-0.44598	0.39443	0.9999435781	0.007775771305	-0.007237269217	-0.007783537416	0.9999691612	-0.001045524779	0.007228916267	0.001101797344	0.999973264
0.17	1020.84716	-14.57645	303.28641	0.41072	0.06719	-0.44816	0.3999	0.9999437171	0.007813376463	-0.007177303202	-0.007821586852	0.9999687875	-0.00111658127	0.007168354911	0.001172656326	0.9999736194
0.18	1020.80719	-14.54796	303.25437	0.42161	0.05709	-0.44566	0.39963	0.999942677	0.007770820286	-0.007365940225	-0.007777945331	0.9999693103	-0.000939143283	0.007358416253	0.0009963813288	0.9999724301
0.19	1020.82162	-14.58495	303.29287	0.42437	0.06096	-0.44648	0.40367	0.99994221	0.007784582752	-0.007414647773	-0.007792253438	0.9999691337	-0.001006204662	0.007406586027	0.001063923328	0.9999720049
0.2	1020.83793	-14.56871	303.27294	0.42376	0.05992	-0.44011	0.42915	0.9999431489	0.007673554379	-0.007403750679	-0.007681082947	0.999970011	-0.0009889598945	0.00739593981	0.001045772494	0.9999721028
0.21	1020.83501	-14.57119	303.27954	0.42318	0.05941	-0.43926	0.40727	0.9999433376	0.007658795922	-0.007393545504	-0.007666249065	0.9999701334	-0.0009802464227	0.007385817177	0.001036871641	0.9999721869
0.22	1020.83547	-14.57991	303.27072	0.42126	0.06678	-0.44178	0.40153	0.9999432463	0.007701864846	-0.007361070971	-0.007710230766	0.999969661	-0.001108806481	0.007352307765	0.001165499108	0.9999722922
0.23	1020.85159	-14.57411	303.28147	0.42268	0.07123	-0.43583	0.41054	0.9999438591	0.007597418329	-0.007386328146	-0.00760638814	0.9999703665	-0.00118704724	0.007377090769	0.001243163877	0.9999720161
0.24	1020.85539	-14.58958	303.29183	0.42609	0.07168	-0.44053	0.40205	0.999942791	0.007679313881	-0.007445998099	-0.007688410594	0.9999697311	-0.001193837495	0.007436604864	0.001251017087	0.9999715655
0.25	1020.85101	-14.60597	303.27545	0.4256	0.06376	-0.43156	0.40905	0.999944046	0.007523801172	-0.007436219533	-0.007531863902	0.9999710766	-0.001056841542	0.007428052986	0.001112791	0.9999717925
