0.73148	0.10008	359.42579
0.86281	0.08219	359.49679
0.64264	0.07053	359.51029
0.77342	0.09915	359.49578
0.73099	0.09113	359.57489
0.75356	0.14655	359.70513
0.69665	0.14559	359.81834
0.67166	0.16676	359.86544
0.61873	0.12185	359.86361
0.4883	0.10002	359.70233
0.36013	0.05791	359.53503
0.42216	0.06045	359.54529
0.41486	0.05811	359.5472
0.4124	0.05994	359.54254
0.41615	0.06017	359.5479
0.41419	0.06313	359.55402
0.41072	0.06719	359.55184
0.42161	0.05709	359.55434
0.42437	0.06096	359.55352
0.42376	0.05992	359.55989
0.42318	0.05941	359.56074
0.42126	0.06678	359.55822
0.42268	0.07123	359.56417
0.42609	0.07168	359.55947
0.4256	0.06376	359.56844
0.42925	0.06339	359.57406
0.42168	0.05333	359.57026
0.41854	0.05877	359.57865
0.41242	0.05501	359.58185
0.42046	0.05027	359.58776
0.41001	0.04972	359.59347
0.41435	0.04492	359.59835
0.40338	0.02465	359.60588
0.4016	0.02552	359.61203
0.38173	0.02569	359.60614
0.37826	0.03612	359.60289
0.36466	0.02861	359.60169
0.37065	0.0214	359.60414
0.37336	0.01603	359.6078
0.36263	0.01275	359.60736
0.36178	0.00836	359.61478
0.37476	0.00738	359.62014
0.3691	0.00214	359.63063
0.3943	0.002	359.6407
0.39687	0.00032	359.64527
0.4257	0.0262	359.64642
0.44689	0.0373	359.6688
0.46703	0.05691	359.67928
0.50885	0.06992	359.69659
0.53593	0.10246	359.71665
0.56917	0.11998	359.72527
0.60955	0.13491	359.74148
0.63073	0.16417	359.76131
0.65405	0.20464	359.7779
0.6857	0.24005	359.80983
0.71815	0.26006	359.84847
0.78012	0.27334	359.88567
0.82715	0.26931	359.93185
0.87699	0.28594	359.99621
0.9025	0.28983	0.06199
0.94287	0.33105	0.14187
1.04257	0.38865	0.22742
1.11097	0.44182	0.29569
1.2364	0.50288	0.35579
1.35277	0.55841	0.40129
1.42855	0.58515	0.44957
1.48043	0.60157	0.50442
1.49709	0.60125	0.54916
1.53411	0.59245	0.58573
1.58873	0.62337	0.61142
1.65873	0.68002	0.62962
1.72523	0.7187	0.65159
1.76792	0.74133	0.67553
1.76771	0.70233	0.70205
1.74123	0.62125	0.72278
1.67276	0.53174	0.74196
1.6233	0.43482	0.77988
1.59019	0.35855	0.79781
1.53625	0.27462	0.82592
1.49267	0.18724	0.84242
1.43238	0.07988	0.84647
1.3623	359.95317	0.84102
1.26421	359.82725	0.82786
1.12507	359.69173	0.79843
1.00811	359.57351	0.77556
0.87014	359.46077	0.7526
0.70903	359.33175	0.72939
0.57307	359.19911	0.70643
0.43782	359.01268	0.68666
0.31377	358.84518	0.66654
0.18291	358.68655	0.62791
0.03493	358.51969	0.57285
359.8806	358.38937	0.51453
359.71463	358.3606	0.4468
359.55524	358.29044	0.37978
359.37348	358.21657	0.32366
359.18503	358.11146	0.28162
358.99004	358.03238	0.22645
358.78293	358.02382	0.14515
358.57969	358.10762	0.07209
358.39476	358.20183	359.998
358.21619	358.31919	359.92281
358.03731	358.39169	359.8731
357.83966	358.42425	359.86788
357.63092	358.46517	359.87242
357.43625	358.49482	359.894
357.21706	358.51429	359.94279
357.04636	358.56586	359.99129
356.92687	358.65218	0.01605
356.82986	358.71957	0.0407
356.73353	358.78036	0.06365
356.61251	358.8636	0.07492
356.502	358.96386	0.07905
356.38712	359.06193	0.07933
356.31883	359.18118	0.10966
356.27357	359.3391	0.13646
356.25319	359.49582	0.17936
356.22501	359.63491	0.21199
356.19435	359.77897	0.2653
356.14976	359.94363	0.30515
356.1217	0.14296	0.35906
356.14174	0.35265	0.4369
356.1687	0.61397	0.51398
356.25136	0.89653	0.60703
356.32549	1.1686	0.71814
356.37507	1.47663	0.80727
356.45865	1.76236	0.89474
356.51725	2.08528	0.97741
356.58475	2.38727	1.05701
